fare_amount_predicted,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
8.007544389,2015-01-27 13:08:24 UTC,-73.97332001,40.76380539,-73.98143005,40.74383545,1
8.128552495,2015-01-27 13:08:24 UTC,-73.98686218,40.71938324,-73.99888611,40.73920059,1
7.190918361,2011-10-08 11:53:44 UTC,-73.982524,40.75126,-73.979654,40.746139,1
8.006585765,2012-12-01 21:12:12 UTC,-73.98116,40.767807,-73.990448,40.751635,1
7.916105886,2012-12-01 21:12:12 UTC,-73.966046,40.789775,-73.988565,40.744427,1
8.231215746,2012-12-01 21:12:12 UTC,-73.960983,40.765547,-73.979177,40.740053,1
6.729203671,2011-10-06 12:10:20 UTC,-73.949013,40.773204,-73.959622,40.770893,1
7.861878938,2011-10-06 12:10:20 UTC,-73.777282,40.646636,-73.985083,40.759368,1
6.955108208,2011-10-06 12:10:20 UTC,-74.014099,40.709638,-73.995106,40.741365,1
7.612978321,2014-02-18 15:22:20 UTC,-73.969582,40.765519,-73.980686,40.770725,1
7.478373198,2014-02-18 15:22:20 UTC,-73.989374,40.741973,-73.9993,40.722534,1
7.125888663,2014-02-18 15:22:20 UTC,-74.001614,40.740893,-73.956387,40.767437,1
7.550805514,2010-03-29 20:20:32 UTC,-73.991198,40.739937,-73.997166,40.735269,1
7.644245569,2010-03-29 20:20:32 UTC,-73.982034,40.762723,-74.001867,40.761545,1
7.371903011,2011-10-06 03:59:12 UTC,-73.992455,40.728701,-73.983397,40.750149,1
7.440480907,2011-10-06 03:59:12 UTC,-73.983583,40.746993,-73.951178,40.785903,1
7.979884302,2012-07-15 16:45:04 UTC,-74.006746,40.731721,-74.010204,40.732318,1
7.663481144,2012-07-15 16:45:04 UTC,-73.976446,40.785598,-73.95222,40.772121,1
7.981213045,2012-07-15 16:45:04 UTC,-73.973548,40.763349,-73.972096,40.756417,1
8.0602269,2012-07-15 16:45:04 UTC,-73.970918,40.756025,-73.975954,40.755563,1
8.432621142,2014-10-29 02:09:56 UTC,-73.926071,40.705866,-73.941741,40.714789,1
7.955908733,2014-06-14 13:39:00 UTC,-73.970555,40.764702,-73.949132,40.7718,1
7.694096108,2014-06-14 13:39:00 UTC,-73.989102,40.73636,-73.992767,40.747767,1
7.638729441,2014-06-14 13:39:00 UTC,-74.003525,40.74848,-73.99152,40.76296,1
7.661356586,2014-06-14 13:39:00 UTC,-73.990352,40.759992,-74.015665,40.711682,1
7.490028448,2014-06-14 13:39:00 UTC,-73.989482,40.75745,-74.00085,40.762705,1
9.326395761,2014-06-14 13:39:00 UTC,-73.870785,40.773722,-73.741922,40.689945,1
7.774498724,2014-06-14 13:39:00 UTC,-73.992682,40.733877,-73.938852,40.80822,1
7.9473921,2014-06-14 13:39:00 UTC,-73.95402,40.778705,-73.950277,40.76881,1
7.876519211,2014-06-14 13:39:00 UTC,-73.972742,40.743432,-74.007125,40.710192,1
7.707782832,2014-06-14 13:39:00 UTC,-73.953515,40.771137,-73.947295,40.796792,1
7.70128992,2014-06-14 13:39:00 UTC,-73.99959,40.73863,-74.00512,40.72886,1
7.8994421,2014-06-14 13:39:00 UTC,-73.958925,40.763727,-73.958138,40.773337,1
8.288688583,2014-06-14 13:39:00 UTC,-73.96996,40.793912,-73.963747,40.768497,1
7.9543921,2014-06-14 13:39:00 UTC,-73.955135,40.780062,-73.96334,40.762677,1
7.548586871,2014-06-14 13:39:00 UTC,-73.981367,40.74415,-73.993107,40.73326,1
7.788308733,2014-06-14 13:39:00 UTC,-73.977608,40.749272,-73.979918,40.739127,1
7.57870758,2014-06-14 13:39:00 UTC,-74.005682,40.738755,-73.99507,40.73487,1
7.742329441,2014-06-14 13:39:00 UTC,-74.006635,40.74421,-73.988025,40.743882,1
7.758482832,2014-06-14 13:39:00 UTC,-73.954927,40.783217,-73.952562,40.789407,1
7.563465391,2014-06-14 13:39:00 UTC,-74.00477,40.746977,-73.96411,40.802537,1
7.829312775,2014-06-14 13:39:00 UTC,-74.00544,40.745935,-73.985797,40.763722,1
7.754624246,2014-06-14 13:39:00 UTC,-74.01311,40.70408,-73.973397,40.751617,1
7.734942066,2014-06-14 13:39:00 UTC,-73.980173,40.74585,-73.986687,40.766567,1
7.782312775,2014-06-14 13:39:00 UTC,-73.99287,40.75307,-73.9894,40.75766,1
7.926258767,2014-06-14 13:39:00 UTC,-73.96409,40.776612,-73.981708,40.75233,1
7.72768992,2014-06-14 13:39:00 UTC,-73.98736,40.729017,-73.99781,40.729485,1
7.823088421,2014-06-14 13:39:00 UTC,-73.96744,40.772032,-73.981815,40.773535,1
7.826690913,2014-06-14 13:39:00 UTC,-73.996132,40.726167,-73.984293,40.729047,1
7.797340913,2014-06-14 13:39:00 UTC,-73.986387,40.739997,-73.979067,40.737097,1
7.929090913,2014-06-14 13:39:00 UTC,-73.997102,40.722197,-73.963812,40.71224,1
7.937362775,2014-06-14 13:39:00 UTC,-73.993222,40.747247,-73.959138,40.763547,1
7.982026862,2014-06-14 13:39:00 UTC,-73.989773,40.73411,-73.943265,40.691587,1
